Date,Hour,Forex,Evenement,Actuel,Forecast,Previous
2021-04-15,14:30:00,USD,Inscriptions hebdomadaires au chômage,576K,700K,769K
2021-04-15,14:30:00,USD,Indice manufacturier Fed de Philadelphie (Avr),"50,2",42,51.8
2021-04-15,14:30:00,USD,Ventes au détail (Mensuel) (Mar),"9,8%",0.059,-0.027
2021-04-16,11:00:00,EUR,IPC (Annuel) (Mar),"1,3%",0.013,0.009
2021-04-16,14:30:00,USD,Permis de construire (Mar),"1,766M",1.750M,1.720M
2021-04-20,08:00:00,GBP,Salaire moyen bonus compris (Févr.),"4,5%",0.048,0.048
2021-04-21,08:00:00,GBP,IPC (Annuel) (Mar),"0,7%",0.008,0.004
2021-04-22,13:45:00,EUR,Taux de facilité de dépôt (Avr),"-0,50%",-0.005,-0.005
2021-04-22,13:45:00,EUR,Décision de la BCE sur les taux d'intérêt (Avr),"0,00%",0,0
2021-04-22,14:30:00,USD,Inscriptions hebdomadaires au chômage,547K,617K,586K
2021-04-22,16:00:00,USD,Ventes de logements existants (Mar),"6,01M",6.19M,6.24M
2021-04-23,08:00:00,GBP,Ventes au détail (Mensuel) (Mar),"5,4%",0.015,0.022
2021-04-23,09:30:00,EUR,PMI manufacturier Allemagne (Avr)  ,"66,4",65.8,66.6
2021-04-23,16:00:00,USD,Ventes de logements neufs (Mar),1.021K,886K,846K
2021-04-26,10:00:00,EUR,IFO climat des affaires Allemagne (Avr),"96,8",97.8,96.6
2021-04-26,14:30:00,USD,Commandes de biens durables - core (Mensuel) (Mar),"1,6%",0.016,-0.003
2021-04-27,16:00:00,USD,Confiance des consommateurs - Conference Board (Avr),"121,7",113,109
2021-04-28,20:00:00,USD,Décision de la FED sur les taux d'intérêt,"0,25%",0.0025,0.0025
2021-04-29,09:55:00,EUR,Evolution du nombre de chômeurs Allemagne (Avr),9K,-10K,-6K
2021-04-29,14:30:00,USD,PIB (Trimestriel) (T1)  ,"6,4%",0.061,0.043
2021-04-29,14:30:00,USD,Inscriptions hebdomadaires au chômage,553K,549K,566K
2021-04-29,16:00:00,USD,Promesses de ventes de logements (Mensuel) (Mar),"1,9%",0.05,-0.115
2021-04-30,10:00:00,EUR,PIB Allemagne (Trimestriel) (T1)  ,"-1,7%",-0.015,0.005
2021-04-30,11:00:00,EUR,IPC (Annuel) (Avr)  ,"1,6%",0.016,0.013
2021-04-30,14:30:00,USD,PCE core - Indice des prix à la consommation des ménages (Mensuel) (Mar),"0,4%",0.003,0.001
2021-03-05,09:55:00,EUR,PMI manufacturier Allemagne (Avr),"66,2",66.4,66.4
2021-03-05,16:00:00,USD,Indice PMI manufacturier de l'ISM (Avr),"60,7",65,64.7
2021-04-05,10:30:00,GBP,PMI manufacturier (Avr),"60,9",60.7,58.9
2021-05-05,14:15:00,USD,Créations d'emplois non agricoles ADP (Avr),742K,800K,565K
2021-05-05,16:00:00,USD,Indice PMI non manufacturier de l'ISM (Avr),"62,7",64.3,63.7
2021-06-05,10:30:00,GBP,PMI Composite (Avr),"60,7",60,56.4
2021-06-05,10:30:00,GBP,PMI services (Avr),"61,0",60.1,56.3
2021-06-05,13:00:00,GBP,Décision de la BoE sur les taux d'intérêt (Mai),"0,10%",0.001,0.001
2021-06-05,14:30:00,USD,Inscriptions hebdomadaires au chômage,498K,540K,590K
2021-07-05,10:30:00,GBP,PMI construction (Avr),"61,6",62.3,61.7
2021-07-05,14:30:00,USD,Créations d'emplois dans le secteur non agricole (Avr),266K,978K,770K
2021-07-05,14:30:00,USD,Taux de chômage (Avr),"6,1%",0.058,0.06
2021-11-05,11:00:00,EUR,Indice ZEW - Sentiment économique Allemagne (Mai),"84,4",72,70.7
2021-11-05,16:00:00,USD,Rapport JOLTS - Nouvelles offres d'emploi (Mar),"8,123M",7.500M,7.526M
2021-12-05,08:00:00,GBP,PIB (Trimestriel) (T1)  ,"-1,5%",-0.016,0.013
2021-12-05,08:00:00,GBP,PIB (Annuel) (T1)  ,"-6,1%",-0.061,-0.073
2021-12-05,08:00:00,GBP,Production manufacturière (Mensuel) (Mar),"2,1%",0.01,0.013
2021-12-05,14:30:00,USD,IPC core (Mensuel) (Avr),"0,9%",0.003,0.003
2021-05-13,14:30:00,USD,Inscriptions hebdomadaires au chômage,473K,490K,507K
2021-05-13,14:30:00,USD,Prix à la production (Mensuel) (Avr),"0,6%",0.003,0.01
2021-05-14,14:30:00,USD,Ventes au détail principales (Mensuel) (Avr),"-0,8%",0.007,0.09
2021-05-14,14:30:00,USD,Ventes au détail (Mensuel) (Avr),"0,0%",0.01,0.107
2021-05-18,08:00:00,GBP,Salaire moyen bonus compris (Mar),"4,0%",0.045,0.045
2021-05-18,14:30:00,USD,Permis de construire (Avr),"1,760M",1.770M,1.755M
2021-05-19,08:00:00,GBP,IPC (Annuel) (Avr),"1,5%",0.014,0.007
2021-05-19,11:00:00,EUR,IPC (Annuel) (Avr),"1,6%",0.016,0.013
2021-05-20,14:30:00,USD,Inscriptions hebdomadaires au chômage,444K,450K,478K
2021-05-20,14:30:00,USD,Indice manufacturier Fed de Philadelphie (Mai),"31,5",43,50.2
2021-05-21,08:00:00,GBP,Ventes au détail (Mensuel) (Avr),"9,2%",0.045,0.051
2021-05-21,09:30:00,EUR,PMI manufacturier Allemagne (Mai)  ,"64,0",65.9,66.2
2021-05-21,10:30:00,GBP,PMI Composite (Mai)  ,"62,0",60,60
2021-05-21,10:30:00,GBP,PMI manufacturier (Mai)  ,"66,1",60.7,60.7
2021-05-21,10:30:00,GBP,PMI services (Mai)  ,"61,8",60.1,60.1
2021-05-21,16:00:00,USD,Ventes de logements existants (Avr),"5,85M",6.09M,6.01M
2021-05-25,08:00:00,EUR,PIB Allemagne (Trimestriel) (T1),"-1,8%",-0.017,0.003
2021-05-25,10:00:00,EUR,IFO climat des affaires Allemagne (Mai),"99,2",98.2,96.6
2021-05-25,16:00:00,USD,Confiance des consommateurs - Conference Board (Mai),"117,2",119.2,117.5
2021-05-25,16:00:00,USD,Ventes de logements neufs (Avr),863K,970K,917K
2021-05-27,14:30:00,USD,Commandes de biens durables - core (Mensuel) (Avr),"1,0%",0.008,0.032
2021-05-27,14:30:00,USD,PIB (Trimestriel) (T1)  ,"6,4%",0.065,0.064
2021-05-27,14:30:00,USD,Inscriptions hebdomadaires au chômage,406K,425K,444K
2021-05-27,16:00:00,USD,Promesses de ventes de logements (Mensuel) (Avr),"-4,4%",0.008,0.017
2021-05-28,14:30:00,USD,PCE core - Indice des prix à la consommation des ménages (Mensuel) (Avr),"0,7%",0.006,0.004
2021-01-06,09:55:00,EUR,PMI manufacturier Allemagne (Mai),"64,4",64,66.2
2021-01-06,09:55:00,EUR,Evolution du nombre de chômeurs Allemagne (Mai),-15K,-9K,8K
2021-01-06,10:30:00,GBP,PMI manufacturier (Mai),"65,6",66.1,66.1
2021-01-06,11:00:00,EUR,IPC (Annuel) (Mai)  ,"2,0%",0.019,0.016
2021-01-06,16:00:00,USD,Indice PMI manufacturier de l'ISM (Mai),"61,2",60.9,60.7
2021-03-06,10:30:00,GBP,PMI Composite (Mai),"62,9",62,62
2021-03-06,10:30:00,GBP,PMI services (Mai),"62,9",61.8,61.8
2021-03-06,14:15:00,USD,Créations d'emplois non agricoles ADP (Mai),978K,650K,654K
2021-03-06,14:30:00,USD,Inscriptions hebdomadaires au chômage,385K,390K,405K
2021-03-06,16:00:00,USD,Indice PMI non manufacturier de l'ISM (Mai),"64,0",63,62.7
2021-04-06,10:30:00,GBP,PMI construction (Mai),"64,2",62.3,61.6
2021-04-06,14:30:00,USD,Créations d'emplois dans le secteur non agricole (Mai),559K,650K,278K
2021-04-06,14:30:00,USD,Taux de chômage (Mai),"5,8%",0.059,0.061
2021-08-06,11:00:00,EUR,Indice ZEW - Sentiment économique Allemagne (Juin),"79,8",86,84.4
2021-08-06,16:00:00,USD,Rapport JOLTS - Nouvelles offres d'emploi (Avr),"9,286M",8.300M,8.288M
2021-10-06,13:45:00,EUR,Taux de facilité de dépôt (Juin),"-0,50%",-0.005,-0.005
2021-10-06,13:45:00,EUR,Décision de la BCE sur les taux d'intérêt (Juin),"0,00%",0,0
2021-10-06,14:30:00,USD,IPC core (Mensuel) (Mai),"0,7%",0.004,0.009
2021-10-06,14:30:00,USD,Inscriptions hebdomadaires au chômage,376K,370K,405K
2021-11-06,08:00:00,GBP,PIB (Mensuel),"2,3%",0.022,0.021
2021-11-06,08:00:00,GBP,Production manufacturière (Mensuel) (Avr),"-0,3%",0.015,0.021
2021-06-15,08:00:00,GBP,Salaire moyen bonus compris (Avr),"5,6%",0.049,0.043
2021-06-15,14:30:00,USD,Ventes au détail principales (Mensuel) (Mai),"-0,7%",0.002,-0.008
2021-06-15,14:30:00,USD,Prix à la production (Mensuel) (Mai),"0,8%",0.006,0.006
2021-06-15,14:30:00,USD,Ventes au détail (Mensuel) (Mai),"-1,3%",-0.008,0.009
2021-06-16,08:00:00,GBP,IPC (Annuel) (Mai),"2,1%",0.018,0.015
2021-06-16,14:30:00,USD,Permis de construire (Mai),"1,681M",1.730M,1.733M
2021-06-16,20:00:00,USD,Décision de la FED sur les taux d'intérêt,"0,25%",0.0025,0.0025
2021-06-17,11:00:00,EUR,IPC (Annuel) (Mai),"2,0%",0.02,0.016
2021-06-17,14:30:00,USD,Inscriptions hebdomadaires au chômage,412K,359K,375K
2021-06-17,14:30:00,USD,Indice manufacturier Fed de Philadelphie (Juin),"30,7",31,31.5
